Diagnoser, Sluten och/eller specialiserad öppen vård, Antal patienter, F00-F99 Psykiska sjukdomar och syndrom samt beteendestörningar, Ålder: 15-74
Hemortslän;Kön;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Dalarnas län;Män;3075;3205;3398;3633;3550;3873;4198;4251;3965;3534;4255;4458;4148;4480;4607;4835;4226
Dalarnas län;Kvinnor;4019;4123;4278;4386;4276;4477;4934;5046;4705;4180;5065;5128;4860;5410;5699;5896;5298
Dalarnas län;Båda könen;7094;7328;7676;8019;7826;8350;9132;9297;8670;7714;9320;9586;9008;9890;10306;10731;9524
Gävleborgs län;Män;2758;2805;2989;3246;3229;3562;3900;4200;4256;4284;4312;4452;4587;4684;4564;4709;5210
Gävleborgs län;Kvinnor;3036;3072;3338;3582;3589;3802;4237;4580;4841;4880;5023;5138;5229;5215;5396;5736;6207
Gävleborgs län;Båda könen;5794;5877;6327;6828;6818;7364;8137;8780;9097;9164;9335;9590;9816;9899;9960;10445;11417
Västernorrlands län;Män;2341;2358;2631;2823;2882;3017;3284;3241;3369;3360;3368;3421;3372;3431;3567;3669;3783
Västernorrlands län;Kvinnor;2832;2827;2985;3143;3225;3257;3512;3546;3733;3795;3763;3876;3657;3753;3906;4096;4474
Västernorrlands län;Båda könen;5173;5185;5616;5966;6107;6274;6796;6787;7102;7155;7131;7297;7029;7184;7473;7765;8257
Jämtlands län;Män;855;877;1030;1132;1219;1355;1450;1406;1506;1596;1695;1768;1781;1834;1897;2108;2239
Jämtlands län;Kvinnor;984;960;1122;1213;1383;1540;1550;1554;1755;1885;1987;1969;2002;2172;2271;2681;2871
Jämtlands län;Båda könen;1839;1837;2152;2345;2602;2895;3000;2960;3261;3481;3682;3737;3783;4006;4168;4789;5110
Västerbottens län;Män;2179;2756;2843;3297;3579;3808;4122;3883;4013;4295;4318;4342;4269;4398;4583;4585;4839
Västerbottens län;Kvinnor;2487;3268;3338;3834;4191;4316;4547;4576;4761;5232;5186;5349;5301;5585;5970;6274;6440
Västerbottens län;Båda könen;4666;6024;6181;7131;7770;8124;8669;8459;8774;9527;9504;9691;9570;9983;10553;10859;11279
Norrbottens län;Män;2401;2327;2415;1980;2117;2060;1952;3125;3137;3406;3398;3503;3530;3517;3776;3973;3853
Norrbottens län;Kvinnor;2759;2543;2523;2023;2075;2102;1899;3308;3384;3676;3776;3839;3857;3988;4411;4738;4731
Norrbottens län;Båda könen;5160;4870;4938;4003;4192;4162;3851;6433;6521;7082;7174;7342;7387;7505;8187;8711;8584
Hemlän saknas;Män;116;172;168;92;120;90;132;801;397;474;438;344;297;310;290;336;376
Hemlän saknas;Kvinnor;68;119;91;43;47;51;69;808;205;306;291;260;255;273;232;275;297
Hemlän saknas;Båda könen;184;291;259;135;167;141;201;1609;602;780;729;604;552;583;522;611;673
Statistik presenteras från 2008 eftersom kvaliteten avseende specialiserad öppenvård från det året och framåt bedömts vara tillräckligt hög för att publiceras i kombination med slutenvårdsstatistik. Även efter 2008 har inrapporteringen förbättrats och bortfallet minskat i specialiserad öppenvård. Därför bör utvecklingen över tid tolkas med försiktighet – förändringar kan bero på förbättrad inrapportering, inte på att fler faktiskt söker vård.
Socialstyrelsens statistikdatabas 2026-01-07
